Country Name,Country Code,GNI,Percent_Of_Educate,CPIA,Percent_Energy,Female_Labor_Percent,Poor_Percent,Per_Water,Gini,Malnutrition,ISO3,CPI score 2021,port,country_x,Value,country_y
马拉维,MWI,1560.0,21.7978992462158,3.6,,48.870577051443,71.1,,45.5,17.3,MWI,35.0,,,0.8564705882352941,MWI
马来西亚,MYS,28850.0,21.3158206939697,,-5.505028940595212,38.60542036875218,,,,3.8,MYS,48.0,,,1.1055555555555554,MYS
北美,NAC,64330.314321009515,12.3359603881836,,14.351093030028691,46.41980443530039,,,,2.5,,,,,,
纳米比亚,NAM,10620.0,26.3903999328613,,75.30615264766118,49.88713292273301,,,,32.7,NAM,49.0,1.0,NAM,1.1416666666666666,NAM
尼日尔,NER,1330.0,21.6615009307861,3.4,19.71719245846556,44.13856037187923,,,,,NER,31.0,,,0.646875,NER
尼日利亚,NGA,5320.0,,3.5,-90.57835291760162,46.801579610498834,,,,14.6,NGA,24.0,2.0,NGA,0.83125,NGA
尼加拉瓜,NIC,5690.0,26.4080009460449,3.9,48.511423850045745,38.767508626839124,,,,20.1,NIC,20.0,,,1.0599999999999998,NIC
荷兰,NLD,59250.0,12.9115495681763,,35.02100765364129,46.802204683556425,0.2,,28.6,2.5,NLD,82.0,3.0,NLD,1.0227777777777778,NLD
挪威,NOR,72430.0,17.2820606231689,,-494.81574777481774,48.384603544571,0.3,,28.5,2.5,NOR,85.0,2.0,NOR,1.0955555555555554,NOR
尼泊尔,NPL,4160.0,19.1284999847412,3.9,16.67706471383556,56.037378171696005,15.0,,32.8,10.5,NPL,33.0,,,0.9222222222222224,NPL
瑙魯,NRU,20740.0,,,,,,,,,,,,,1.0,NRU
新西兰,NZL,44300.0,17.7527408599854,,19.47815263060601,47.96962848189834,,,,2.5,NZL,88.0,6.0,NZL,1.086875,NZL
经合组织成员,OED,46271.74547975387,13.1901397705078,,26.909432235018993,44.507170795362136,,,,3.1923952666892497,,,,,,
阿曼,OMN,48230.0,,,-205.86980717924254,15.854830635280189,,,,9.1,OMN,52.0,2.0,OMN,1.1273684210526316,OMN
其他小国,OSS,24478.466184188834,15.115309715271,3.35,4.6109605449940405,38.222916143567566,,,,16.73600230521755,,,,,,
巴基斯坦,PAK,4800.0,15.0634803771973,3.2,24.12316878268834,22.445041690124707,8.3,,32.6,15.9,PAK,28.0,2.0,PAK,0.8406666666666667,PAK
巴拿马,PAN,30570.0,,,82.77611399814545,41.30255188368747,4.5,,51.7,11.8,PAN,36.0,5.0,PAN,1.1118181818181818,PAN
秘鲁,PER,12820.0,18.2359199523926,,-3.737478039107582,46.0538983654129,5.5,,45.5,8.8,PER,36.0,3.0,PER,0.986875,PER
菲律宾,PHL,10220.0,,,45.76800308299209,39.70174009826245,,,,13.8,PHL,33.0,5.0,PHL,1.0833333333333333,PHL
帕劳,PLW,19680.0,,,,,,,,,,,,,,
巴布亚新几内亚,PNG,4290.0,,2.8,,48.88838336074499,,,,25.2,PNG,31.0,1.0,PNG,0.7175,PNG
波兰,POL,33000.0,11.5979404449463,,33.21091616346198,44.91281591567432,0.4,,33.2,2.5,POL,56.0,3.0,POL,1.1052941176470588,POL
預人口紅利,PRE,3592.588512817205,16.74405002593995,3.1382352941176466,-94.44970092073417,44.98356281434981,,,,23.297988317706654,,,,,,
波多黎各,PRI,24470.0,,,,43.16498469634414,,,,,,,,,1.14,PRI
葡萄牙,PRT,35230.0,11.0554304122925,,78.04271588681509,49.27639641138915,0.8,,36.3,2.5,PRT,62.0,4.0,PRT,1.051111111111111,PRT
巴拉圭,PRY,12760.0,18.7624092102051,,-36.93956313474093,41.24497384909208,5.2,,52.3,9.2,PRY,30.0,,,1.0675,PRY
约旦河西岸和加沙,PSE,7660.0,17.8052101135254,,,20.22688855726319,0.8,,35.3,,,,,,1.1115,PSE
太平洋岛国,PSS,7455.830504473056,,3.18,,40.97787728331061,,,,9.8556483281954,,,,,,
人口紅利之後,PST,51424.885188402935,12.6205053329468,3.7,29.722733049252504,45.99702762698637,,,,2.542681918784198,,,,,,
卡塔尔,QAT,132440.0,13.8172702789307,,-398.99118670081685,13.83700228247935,,,,,QAT,63.0,,,1.3352941176470587,QAT
罗马尼亚,ROU,31610.0,10.4609603881836,,22.991810815104422,44.2667779937992,6.5,,36.9,2.5,ROU,45.0,1.0,ROU,1.0572222222222225,ROU
俄罗斯联邦,RUS,29110.0,,,-77.8561096295228,48.804891255510775,0.1,,40.9,2.5,RUS,29.0,4.0,RUS,1.050769230769231,RUS
卢旺达,RWA,2240.0,17.548059463501,4.3,,51.83177753591251,63.2,,47.2,35.3,RWA,53.0,,,0.9694117647058824,RWA
南亚,SAS,6462.295051938572,14.80666971206665,3.5375,32.69210781932501,24.142777502127394,26.0,,,15.905310352924733,,,,,,
沙特阿拉伯,SAU,58220.0,,,-186.5097205773066,20.87634116719675,,,,5.9,SAU,53.0,3.0,SAU,1.011111111111111,SAU
苏丹,SDN,4660.0,,2.5,-8.993080228910909,30.441265284180403,,,,16.5,SDN,20.0,1.0,SDN,0.9730769230769232,SDN
塞内加尔,SEN,3420.0,25.7423496246338,3.7,52.69248699066511,40.19755978415115,,,,12.0,SEN,43.0,1.0,SEN,0.8461538461538461,SEN
新加坡,SGP,90320.0,31.3717498779297,,97.70144276335907,41.810944059026575,,,,,SGP,85.0,1.0,SGP,1.04,SGP
所罗门群岛,SLB,2740.0,27.6322002410889,2.7,,48.77964604725555,,,,19.1,SLB,43.0,,,0.94875,SLB
塞拉利昂,SLE,1750.0,35.0058288574219,3.3,,50.54497295935698,,,,28.8,SLE,34.0,,,0.99,SLE
